period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1315,megawatthours
2019-12-31T15,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,13314,megawatthours
2019-12-31T14,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T14,ISNE,ISO New England,NG,Natural Gas,4970,megawatthours
2019-12-31T14,ISNE,ISO New England,NUC,Nuclear,3349,megawatthours
2019-12-31T14,ISNE,ISO New England,OIL,Petroleum,178,megawatthours
2019-12-31T14,ISNE,ISO New England,OTH,Other,683,megawatthours
2019-12-31T14,ISNE,ISO New England,SUN,Solar,6,megawatthours
2019-12-31T14,ISNE,ISO New England,WAT,Hydro,930,megawatthours
2019-12-31T14,ISNE,ISO New England,WND,Wind,587,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,19398,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,22345,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13344,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,450,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,6,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1126,megawatthours
2019-12-31T14,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,14004,megawatthours
2019-12-31T13,ISNE,ISO New England,COL,Coal,4,megawatthours
2019-12-31T13,ISNE,ISO New England,NG,Natural Gas,4448,megawatthours
2019-12-31T13,ISNE,ISO New England,NUC,Nuclear,3341,megawatthours
2019-12-31T13,ISNE,ISO New England,OIL,Petroleum,290,megawatthours
2019-12-31T13,ISNE,ISO New England,OTH,Other,671,megawatthours
2019-12-31T13,ISNE,ISO New England,SUN,Solar,1,megawatthours
2019-12-31T13,ISNE,ISO New England,WAT,Hydro,848,megawatthours
2019-12-31T13,ISNE,ISO New England,WND,Wind,589,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,18175,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,20631,megawatthours
