period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-21,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,242252,megawatthours
2019-12-21,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,242762,megawatthours
2019-12-21,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,241786,megawatthours
2019-12-21,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,241366,megawatthours
2019-12-20,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,75708,megawatthours
2019-12-20,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,75820,megawatthours
2019-12-20,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,75932,megawatthours
2019-12-20,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,75708,megawatthours
2019-12-20,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,75588,megawatthours
2019-12-20,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,273925,megawatthours
2019-12-20,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,274420,megawatthours
2019-12-20,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,274878,megawatthours
2019-12-20,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,273925,megawatthours
2019-12-20,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,273366,megawatthours
2019-12-19,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,77668,megawatthours
2019-12-19,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,77529,megawatthours
2019-12-19,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,77358,megawatthours
2019-12-19,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,77668,megawatthours
2019-12-19,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,77777,megawatthours
2019-12-19,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,287506,megawatthours
2019-12-19,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,288244,megawatthours
2019-12-19,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,288993,megawatthours
2019-12-19,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,287506,megawatthours
2019-12-19,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,286739,megawatthours
2019-12-18,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,71342,megawatthours
2019-12-18,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,71177,megawatthours
2019-12-18,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,71042,megawatthours
2019-12-18,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,71342,megawatthours
2019-12-18,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,71536,megawatthours
2019-12-18,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,294704,megawatthours
2019-12-18,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,294090,megawatthours
2019-12-18,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,293542,megawatthours
2019-12-18,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,294704,megawatthours
2019-12-18,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,295376,megawatthours
2019-12-17,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,72860,megawatthours
2019-12-17,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,72834,megawatthours
2019-12-17,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,72808,megawatthours
2019-12-17,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,72860,megawatthours
2019-12-17,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,72892,megawatthours
2019-12-17,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,283345,megawatthours
2019-12-17,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,283104,megawatthours
2019-12-17,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,282779,megawatthours
2019-12-17,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,283345,megawatthours
2019-12-17,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,283545,megawatthours
2019-12-16,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,71127,megawatthours
2019-12-16,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,71034,megawatthours
2019-12-16,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,70926,megawatthours
2019-12-16,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,71127,megawatthours
2019-12-16,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,71198,megawatthours
2019-12-16,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,280819,megawatthours
2019-12-16,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,280475,megawatthours
2019-12-16,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,280082,megawatthours
2019-12-16,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,280819,megawatthours
2019-12-16,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,281101,megawatthours
