period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T16,PJM,"PJM Interconnection, LLC",COL,Coal,13794,megawatthours,2019-12-31,Chicago,13794
2019-12-31T16,PJM,"PJM Interconnection, LLC",NG,Natural Gas,33739,megawatthours,2019-12-31,Chicago,33739
2019-12-31T16,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28703,megawatthours,2019-12-31,Chicago,28703
2019-12-31T16,PJM,"PJM Interconnection, LLC",OIL,Petroleum,238,megawatthours,2019-12-31,Chicago,238
2019-12-31T16,PJM,"PJM Interconnection, LLC",OTH,Other,711,megawatthours,2019-12-31,Chicago,711
2019-12-31T16,PJM,"PJM Interconnection, LLC",SUN,Solar,200,megawatthours,2019-12-31,Chicago,200
2019-12-31T16,PJM,"PJM Interconnection, LLC",WAT,Hydro,1223,megawatthours,2019-12-31,Chicago,1223
2019-12-31T16,PJM,"PJM Interconnection, LLC",WND,Wind,2643,megawatthours,2019-12-31,Chicago,2643
2019-12-31T15,ISNE,ISO New England,COL,Coal,3,megawatthours,2019-12-31,Boston,3
2019-12-31T15,ISNE,ISO New England,NG,Natural Gas,5480,megawatthours,2019-12-31,Boston,5480
2019-12-31T15,ISNE,ISO New England,NUC,Nuclear,3331,megawatthours,2019-12-31,Boston,3331
2019-12-31T15,ISNE,ISO New England,OIL,Petroleum,23,megawatthours,2019-12-31,Boston,23
2019-12-31T15,ISNE,ISO New England,OTH,Other,695,megawatthours,2019-12-31,Boston,695
2019-12-31T15,ISNE,ISO New England,SUN,Solar,15,megawatthours,2019-12-31,Boston,15
2019-12-31T15,ISNE,ISO New England,WAT,Hydro,1036,megawatthours,2019-12-31,Boston,1036
2019-12-31T15,ISNE,ISO New England,WND,Wind,577,megawatthours,2019-12-31,Boston,577
2019-12-31T15,PJM,"PJM Interconnection, LLC",COL,Coal,14278,megawatthours,2019-12-31,Chicago,14278
2019-12-31T15,PJM,"PJM Interconnection, LLC",NG,Natural Gas,33776,megawatthours,2019-12-31,Chicago,33776
2019-12-31T15,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28876,megawatthours,2019-12-31,Chicago,28876
2019-12-31T15,PJM,"PJM Interconnection, LLC",OIL,Petroleum,240,megawatthours,2019-12-31,Chicago,240
2019-12-31T15,PJM,"PJM Interconnection, LLC",OTH,Other,692,megawatthours,2019-12-31,Chicago,692
2019-12-31T15,PJM,"PJM Interconnection, LLC",SUN,Solar,175,megawatthours,2019-12-31,Chicago,175
2019-12-31T15,PJM,"PJM Interconnection, LLC",WAT,Hydro,1130,megawatthours,2019-12-31,Chicago,1130
2019-12-31T15,PJM,"PJM Interconnection, LLC",WND,Wind,2442,megawatthours,2019-12-31,Chicago,2442
2019-12-31T14,ISNE,ISO New England,COL,Coal,3,megawatthours,2019-12-31,Boston,3
2019-12-31T14,ISNE,ISO New England,NG,Natural Gas,4970,megawatthours,2019-12-31,Boston,4970
2019-12-31T14,ISNE,ISO New England,NUC,Nuclear,3349,megawatthours,2019-12-31,Boston,3349
2019-12-31T14,ISNE,ISO New England,OIL,Petroleum,178,megawatthours,2019-12-31,Boston,178
2019-12-31T14,ISNE,ISO New England,OTH,Other,683,megawatthours,2019-12-31,Boston,683
2019-12-31T14,ISNE,ISO New England,SUN,Solar,6,megawatthours,2019-12-31,Boston,6
2019-12-31T14,ISNE,ISO New England,WAT,Hydro,930,megawatthours,2019-12-31,Boston,930
2019-12-31T14,ISNE,ISO New England,WND,Wind,587,megawatthours,2019-12-31,Boston,587
2019-12-31T14,PJM,"PJM Interconnection, LLC",COL,Coal,12569,megawatthours,2019-12-31,Chicago,12569
2019-12-31T14,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32941,megawatthours,2019-12-31,Chicago,32941
2019-12-31T14,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28813,megawatthours,2019-12-31,Chicago,28813
2019-12-31T14,PJM,"PJM Interconnection, LLC",OIL,Petroleum,238,megawatthours,2019-12-31,Chicago,238
2019-12-31T14,PJM,"PJM Interconnection, LLC",OTH,Other,691,megawatthours,2019-12-31,Chicago,691
2019-12-31T14,PJM,"PJM Interconnection, LLC",SUN,Solar,116,megawatthours,2019-12-31,Chicago,116
2019-12-31T14,PJM,"PJM Interconnection, LLC",WAT,Hydro,1927,megawatthours,2019-12-31,Chicago,1927
2019-12-31T14,PJM,"PJM Interconnection, LLC",WND,Wind,2746,megawatthours,2019-12-31,Chicago,2746
2019-12-31T13,ISNE,ISO New England,COL,Coal,4,megawatthours,2019-12-31,Boston,4
2019-12-31T13,ISNE,ISO New England,NG,Natural Gas,4448,megawatthours,2019-12-31,Boston,4448
2019-12-31T13,ISNE,ISO New England,NUC,Nuclear,3341,megawatthours,2019-12-31,Boston,3341
2019-12-31T13,ISNE,ISO New England,OIL,Petroleum,290,megawatthours,2019-12-31,Boston,290
2019-12-31T13,ISNE,ISO New England,OTH,Other,671,megawatthours,2019-12-31,Boston,671
2019-12-31T13,ISNE,ISO New England,SUN,Solar,1,megawatthours,2019-12-31,Boston,1
2019-12-31T13,ISNE,ISO New England,WAT,Hydro,848,megawatthours,2019-12-31,Boston,848
2019-12-31T13,ISNE,ISO New England,WND,Wind,589,megawatthours,2019-12-31,Boston,589
2019-12-31T13,PJM,"PJM Interconnection, LLC",COL,Coal,12465,megawatthours,2019-12-31,Chicago,12465
2019-12-31T13,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32579,megawatthours,2019-12-31,Chicago,32579
2019-12-31T13,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28821,megawatthours,2019-12-31,Chicago,28821
2019-12-31T13,PJM,"PJM Interconnection, LLC",OIL,Petroleum,221,megawatthours,2019-12-31,Chicago,221
2019-12-31T13,PJM,"PJM Interconnection, LLC",OTH,Other,665,megawatthours,2019-12-31,Chicago,665
2019-12-31T13,PJM,"PJM Interconnection, LLC",SUN,Solar,36,megawatthours,2019-12-31,Chicago,36
2019-12-31T13,PJM,"PJM Interconnection, LLC",WAT,Hydro,1904,megawatthours,2019-12-31,Chicago,1904
2019-12-31T13,PJM,"PJM Interconnection, LLC",WND,Wind,2758,megawatthours,2019-12-31,Chicago,2758
2019-12-31T12,ISNE,ISO New England,COL,Coal,4,megawatthours,2019-12-31,Boston,4
2019-12-31T12,ISNE,ISO New England,NG,Natural Gas,3603,megawatthours,2019-12-31,Boston,3603
2019-12-31T12,ISNE,ISO New England,NUC,Nuclear,3340,megawatthours,2019-12-31,Boston,3340
2019-12-31T12,ISNE,ISO New England,OIL,Petroleum,290,megawatthours,2019-12-31,Boston,290
2019-12-31T12,ISNE,ISO New England,OTH,Other,691,megawatthours,2019-12-31,Boston,691
2019-12-31T12,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T12,ISNE,ISO New England,WAT,Hydro,840,megawatthours,2019-12-31,Boston,840
2019-12-31T12,ISNE,ISO New England,WND,Wind,583,megawatthours,2019-12-31,Boston,583
2019-12-31T12,PJM,"PJM Interconnection, LLC",COL,Coal,11379,megawatthours,2019-12-31,Chicago,11379
2019-12-31T12,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32433,megawatthours,2019-12-31,Chicago,32433
2019-12-31T12,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28790,megawatthours,2019-12-31,Chicago,28790
