date,respondent,type-name,daily_mwh
2020-01-30,ISNE,Nuclear,79995
2020-01-30,ISNE,Other,17283
2020-01-30,ISNE,Petroleum,91
2020-01-30,ISNE,Solar,936
2020-01-30,ISNE,Wind,6325
2020-01-30,PJM,Coal,252614
2020-01-30,PJM,Hydro,50478
2020-01-30,PJM,Natural Gas,854455
2020-01-30,PJM,Nuclear,707011
2020-01-30,PJM,Other,24754
2020-01-30,PJM,Petroleum,10905
2020-01-30,PJM,Solar,677
2020-01-30,PJM,Wind,1822
2020-01-31,ISNE,Coal,122
2020-01-31,ISNE,Hydro,26774
2020-01-31,ISNE,Natural Gas,157119
2020-01-31,ISNE,Nuclear,80120
2020-01-31,ISNE,Other,15758
2020-01-31,ISNE,Petroleum,225
2020-01-31,ISNE,Solar,666
2020-01-31,ISNE,Wind,3164
2020-01-31,PJM,Coal,255904
2020-01-31,PJM,Hydro,44791
2020-01-31,PJM,Natural Gas,792839
2020-01-31,PJM,Nuclear,710593
2020-01-31,PJM,Other,31380
2020-01-31,PJM,Petroleum,4621
2020-01-31,PJM,Solar,299
2020-01-31,PJM,Wind,3095
2020-02-03,ISNE,Coal,5054
2020-02-03,ISNE,Hydro,23703
2020-02-03,ISNE,Natural Gas,126272
2020-02-03,ISNE,Nuclear,80227
2020-02-03,ISNE,Other,14974
2020-02-03,ISNE,Petroleum,3
2020-02-03,ISNE,Solar,444
2020-02-03,ISNE,Wind,14179
2020-02-03,PJM,Coal,251878
2020-02-03,PJM,Hydro,51283
2020-02-03,PJM,Natural Gas,811571
2020-02-03,PJM,Nuclear,707140
2020-02-03,PJM,Other,17333
2020-02-03,PJM,Petroleum,5258
2020-02-03,PJM,Solar,2459
2020-02-03,PJM,Wind,37188
2020-02-04,ISNE,Coal,5236
2020-02-04,ISNE,Hydro,22583
2020-02-04,ISNE,Natural Gas,146398
2020-02-04,ISNE,Nuclear,80274
2020-02-04,ISNE,Other,13948
2020-02-04,ISNE,Petroleum,1289
2020-02-04,ISNE,Solar,319
2020-02-04,ISNE,Wind,6092
2020-02-04,PJM,Coal,264879
2020-02-04,PJM,Hydro,45712
2020-02-04,PJM,Natural Gas,767161
2020-02-04,PJM,Nuclear,704934
2020-02-04,PJM,Other,15336
2020-02-04,PJM,Petroleum,5315
2020-02-04,PJM,Solar,770
2020-02-04,PJM,Wind,50952
2020-02-05,ISNE,Coal,7440
2020-02-05,ISNE,Hydro,25042
2020-02-05,ISNE,Natural Gas,133313
2020-02-05,ISNE,Nuclear,80337
2020-02-05,ISNE,Other,13245
2020-02-05,ISNE,Petroleum,1109
2020-02-05,ISNE,Solar,384
2020-02-05,ISNE,Wind,11953
2020-02-05,PJM,Coal,318967
2020-02-05,PJM,Hydro,53821
