date,respondent,class,total_renewable,total_mwh,pct_of_total
2020-07-20,PJM,green,87236,3026623,2.882288279709762
2020-07-20,PJM,traditional,2939387,3026623,97.11771172029023
2020-07-21,ISNE,green,24974,375643,6.648333657222416
2020-07-21,ISNE,traditional,350669,375643,93.35166634277758
2020-07-21,PJM,green,74320,2954652,2.5153554462589844
2020-07-21,PJM,traditional,2880332,2954652,97.48464455374102
2020-07-22,ISNE,green,17368,350209,4.959324289210158
2020-07-22,ISNE,traditional,332841,350209,95.04067571078984
2020-07-22,PJM,green,87417,2889203,3.025644096313066
2020-07-22,PJM,traditional,2801786,2889203,96.97435590368694
2020-07-23,ISNE,green,19404,360833,5.377556930768527
2020-07-23,ISNE,traditional,341429,360833,94.62244306923148
2020-07-23,PJM,green,75543,2820236,2.6786056202388737
2020-07-23,PJM,traditional,2744693,2820236,97.32139437976113
2020-07-24,ISNE,green,16158,340953,4.739069607834511
2020-07-24,ISNE,traditional,324795,340953,95.26093039216549
2020-07-24,PJM,green,59583,2730713,2.1819576059439423
2020-07-24,PJM,traditional,2671130,2730713,97.81804239405606
2020-07-27,ISNE,green,26528,396461,6.6912003954991794
2020-07-27,ISNE,traditional,369933,396461,93.30879960450082
2020-07-27,PJM,green,113067,3011995,3.753890693709651
2020-07-27,PJM,traditional,2898928,3011995,96.24610930629035
2020-07-28,ISNE,green,23954,412826,5.802444613469112
2020-07-28,ISNE,traditional,388872,412826,94.19755538653088
2020-07-28,PJM,green,90512,2951515,3.0666284941801076
2020-07-28,PJM,traditional,2861003,2951515,96.93337150581989
2020-07-29,ISNE,green,18086,373643,4.8404493058882405
2020-07-29,ISNE,traditional,355557,373643,95.15955069411176
2020-07-29,PJM,green,86079,2914567,2.9534061148705795
2020-07-29,PJM,traditional,2828488,2914567,97.04659388512941
2020-07-30,ISNE,green,18443,369638,4.9894761902185385
2020-07-30,ISNE,traditional,351195,369638,95.01052380978146
2020-07-30,PJM,green,82759,2787111,2.9693471124759654
2020-07-30,PJM,traditional,2704352,2787111,97.03065288752404
2020-07-31,ISNE,green,15082,333423,4.523383209916532
2020-07-31,ISNE,traditional,318341,333423,95.47661679008347
2020-07-31,PJM,green,88939,2631316,3.3800197315715783
2020-07-31,PJM,traditional,2542377,2631316,96.61998026842842
2020-08-03,ISNE,green,28806,376840,7.644092983759686
2020-08-03,ISNE,traditional,348034,376840,92.35590701624031
2020-08-03,PJM,green,96476,2516375,3.833927773086285
2020-08-03,PJM,traditional,2419899,2516375,96.16607222691371
2020-08-04,ISNE,green,21889,319572,6.8494736710350095
2020-08-04,ISNE,traditional,297683,319572,93.15052632896499
2020-08-04,PJM,green,89188,2387525,3.735583920587219
2020-08-04,PJM,traditional,2298337,2387525,96.26441607941278
2020-08-05,ISNE,green,26159,302160,8.657333862854118
2020-08-05,ISNE,traditional,276001,302160,91.34266613714588
2020-08-05,PJM,green,62855,2403571,2.6150673310669834
2020-08-05,PJM,traditional,2340716,2403571,97.38493266893302
2020-08-06,ISNE,green,24189,272219,8.885860281611496
2020-08-06,ISNE,traditional,248030,272219,91.1141397183885
2020-08-06,PJM,green,56033,2424621,2.31100035840653
2020-08-06,PJM,traditional,2368588,2424621,97.68899964159347
2020-08-07,ISNE,green,16588,276123,6.00746768650203
2020-08-07,ISNE,traditional,259535,276123,93.99253231349796
2020-08-07,PJM,green,57899,2460179,2.3534466394518447
2020-08-07,PJM,traditional,2402280,2460179,97.64655336054815
2020-08-10,ISNE,green,19396,377325,5.140396210163653
2020-08-10,ISNE,traditional,357929,377325,94.85960378983634
2020-08-10,PJM,green,97412,2964569,3.285873933107983
2020-08-10,PJM,traditional,2867157,2964569,96.71412606689202
2020-08-11,ISNE,green,21086,396185,5.322261064906546
2020-08-11,ISNE,traditional,375099,396185,94.67773893509346
2020-08-11,PJM,green,76717,2840678,2.7006580823310493
2020-08-11,PJM,traditional,2763961,2840678,97.29934191766894
2020-08-12,ISNE,green,23522,392172,5.9978784818905995
2020-08-12,ISNE,traditional,368650,392172,94.0021215181094
2020-08-12,PJM,green,72700,2829940,2.5689590592026685
2020-08-12,PJM,traditional,2757240,2829940,97.43104094079733
2020-08-13,ISNE,green,15969,345676,4.61964382832479
2020-08-13,ISNE,traditional,329707,345676,95.3803561716752
2020-08-13,PJM,green,74597,2761509,2.7013129415837502
2020-08-13,PJM,traditional,2686912,2761509,97.29868705841625
2020-08-14,ISNE,green,15103,324228,4.658141801448363
2020-08-14,ISNE,traditional,309125,324228,95.34185819855163
2020-08-14,PJM,green,71088,2723595,2.6100796924652894
2020-08-14,PJM,traditional,2652507,2723595,97.38992030753471
2020-08-17,ISNE,green,12509,272453,4.591250601021094
2020-08-17,ISNE,traditional,259944,272453,95.40874939897891
2020-08-17,PJM,green,71517,2479408,2.8844385433942294
2020-08-17,PJM,traditional,2407891,2479408,97.115561456605775
2020-08-18,ISNE,green,18978,282619,6.715047466730828
2020-08-18,ISNE,traditional,263641,282619,93.28495253326918
2020-08-18,PJM,green,85623,2451820,3.492222104395918
2020-08-18,PJM,traditional,2366197,2451820,96.50777789560408
2020-08-19,ISNE,green,18085,260694,6.937252103999326
2020-08-19,ISNE,traditional,242609,260694,93.06274789600067
2020-08-19,PJM,green,58754,2411152,2.436760519452942
2020-08-19,PJM,traditional,2352398,2411152,97.56323948054705
2020-08-20,ISNE,green,17409,253333,6.87198272629306
2020-08-20,ISNE,traditional,235924,253333,93.12801727370694
2020-08-20,PJM,green,60423,2414643,2.502357491355865
2020-08-20,PJM,traditional,2354220,2414643,97.49764250864413
2020-08-21,ISNE,green,17782,282636,6.29148445350203
2020-08-21,ISNE,traditional,264854,282636,93.70851554649798
2020-08-21,PJM,green,58301,2516438,2.316806533679749
2020-08-21,PJM,traditional,2458137,2516438,97.68319346632025
2020-08-24,ISNE,green,15861,341043,4.650733192002181
2020-08-24,ISNE,traditional,325182,341043,95.34926680799782
2020-08-24,PJM,green,89984,2851313,3.1558794141506037
2020-08-24,PJM,traditional,2761329,2851313,96.8441205858494
2020-08-26,ISNE,green,27402,254680,10.759384325427988
2020-08-26,ISNE,traditional,227278,254680,89.24061567457201
2020-08-26,PJM,green,114930,2690634,4.27148396994909
2020-08-26,PJM,traditional,2575704,2690634,95.72851603005091
2020-08-27,ISNE,green,24243,267003,9.07967326209818
2020-08-27,ISNE,traditional,242760,267003,90.92032673790183
2020-08-27,PJM,green,144479,2865512,5.0419959853596845
2020-08-27,PJM,traditional,2721033,2865512,94.95800401464032
2020-08-28,ISNE,green,18731,273667,6.844449641352448
2020-08-28,ISNE,traditional,254936,273667,93.15555035864756
2020-08-28,PJM,green,101564,2794140,3.6348930261189487
2020-08-28,PJM,traditional,2692576,2794140,96.36510697388105
2020-08-31,ISNE,green,12730,250555,5.080720799824389
2020-08-31,ISNE,traditional,237825,250555,94.91927920017561
2020-08-31,PJM,green,99868,2367434,4.218406933413983
